,Unnamed: 0,X,x,y,Labels,Energy,Magnetization,Temp,Min_distance
2060,1199661,1199660,11.4537731597683,-1.4322325280964698,1,236,0.54,2.30833333333333,1.500031984329336
2061,1199662,1199661,-15.061694545038199,-3.0078374334688998,0,314,0.785,2.30833333333333,3.9054338897768575
2062,1199663,1199662,17.3582470083304,-0.40549885010421904,1,304,0.835,2.30833333333333,4.48708831577897
2063,1199664,1199663,-15.4593103235943,0.7115737467605541,0,292,0.805,2.30833333333333,4.251878014239937
2064,1199665,1199664,-15.4580123558266,0.683205487305212,0,310,0.805,2.32,4.251612945155069
2065,1199666,1199665,-0.44581312632305703,6.3100441622657595,2,242,0.055,2.32,3.6703760613970764
2066,1199667,1199666,13.955743670378098,-0.15184204791388098,1,258,0.665,2.32,2.8178876705955562
2067,1199668,1199667,19.5584881571781,-1.03746287032082,1,362,0.945,2.32,5.557082144413061
2068,1199669,1199668,13.152954877121802,-3.0698972344918705,1,246,0.625,2.3316666666666697,2.3531795573143297
2069,1199670,1199669,15.75607841481,-0.7122543449111121,1,266,0.755,2.3316666666666697,3.6734260193902166
2070,1199671,1199670,-9.45715997808532,-2.8112986808172296,0,242,0.505,2.3316666666666697,1.1015594945161848
2071,1199672,1199671,5.24726158288296,0.139088042148443,2,226,0.23,2.3316666666666697,1.653381730818797
2072,1199673,1199672,0.151377484039453,0.595732924062419,2,208,0.025,2.34333333333333,3.7991805429299825
2073,1199674,1199673,13.160275774479599,4.03232569258988,1,268,0.625,2.34333333333333,2.3931456934103483
2074,1199675,1199674,15.657833453666198,1.8406263415463102,1,292,0.75,2.34333333333333,3.6132782676324244
2075,1199676,1199675,12.153196624173301,-6.65543411001567,1,272,0.575,2.34333333333333,1.9680056707632014
2076,1199677,1199676,-15.457530542397802,-0.33176332657530294,0,312,0.805,2.355,4.2559366417607
2077,1199678,1199677,8.35789381986574,4.82796954325474,2,250,0.385,2.355,0.25346916783052303
2078,1199679,1199678,-15.859449898667801,-0.674122146420526,0,316,0.825,2.355,4.428510457871836
2079,1199680,1199679,-12.557971939837302,-0.0156362372458581,0,272,0.66,2.355,2.8017696259460343
2080,1199681,1199680,12.857423845801,2.1284061567872,1,256,0.61,2.36666666666667,2.2328644764966965
2081,1199682,1199681,-1.64883820399749,-1.4790491817484999,2,252,0.115,2.36666666666667,2.8925690565118183
2082,1199683,1199682,-16.1577844487306,1.53986982540323,0,294,0.84,2.36666666666667,4.609927887432191
2083,1199684,1199683,3.3505976930580403,3.8002601992494,2,232,0.135,2.36666666666667,2.673567092804252
2084,1199685,1199684,10.6507660957837,-4.9203711007086905,1,210,0.5,2.3783333333333303,1.3197927319513856
2085,1199686,1199685,-15.057170075418801,-0.40018191713908896,0,294,0.785,2.3783333333333303,4.054617291444518
2086,1199687,1199686,9.9537391738155,-2.59878666105082,1,238,0.465,2.3783333333333303,0.7688219984253325
2087,1199688,1199687,-12.1570985097651,1.80403254071632,0,266,0.64,2.3783333333333303,2.636097693868953
2088,1199689,1199688,-13.9573108505529,-0.51566868493561,0,264,0.73,2.39,3.503229619080768
2089,1199690,1199689,4.1491429299101,-10.274609495384999,2,230,0.175,2.39,2.368469580893455
2090,1199691,1199690,7.3471054157348705,-9.15087491928845,2,250,0.335,2.39,0.6749248741115549
2091,1199692,1199691,11.551233333812402,-2.7104700205571,1,220,0.545,2.39,1.5544490724318516
2092,1199693,1199692,2.55148185651982,6.05330794317086,2,266,0.095,2.40166666666667,3.0629834217854928
2093,1199694,1199693,17.4592943164777,-0.275266665780878,1,312,0.84,2.40166666666667,4.545781358255346
2094,1199695,1199694,12.856071017931301,0.516255646070901,1,240,0.61,2.40166666666667,2.238637636556649
2095,1199696,1199695,-8.45949498032912,-6.0592491742142,0,280,0.455,2.40166666666667,0.6604231874579036
2096,1199697,1199696,-0.25017311462257696,-1.85292866410478,2,204,0.045,2.41333333333333,3.6029189407122644
2097,1199698,1199697,-12.8605381632318,-4.2904461363705,0,282,0.675,2.41333333333333,2.9041082422754187
2098,1199699,1199698,-8.35671526636974,-5.72703409163683,0,252,0.45,2.41333333333333,0.6019789395923051
2099,1199700,1199699,-11.0583896750495,1.53434525833389,0,246,0.585,2.41333333333333,2.072387590169922
2100,1199701,1199700,6.049919369633019,-6.8419153401586295,2,246,0.27,2.425,1.5179137381514347
2101,1199702,1199701,7.55014533900384,-0.12613799053924102,2,222,0.345,2.425,0.5044556464935094
2102,1199703,1199702,12.855285474606,1.0860034877687401,1,260,0.61,2.425,2.205358448766173
2103,1199704,1199703,-14.2593572185731,-1.82614865975494,0,256,0.745,2.425,3.5342453236371334
2104,1199705,1199704,-14.359956812091598,-1.45513169159596,0,274,0.75,2.4366666666666696,3.613252190778907
2105,1199706,1199705,9.65624070416548,1.3010292982831102,1,220,0.45,2.4366666666666696,0.6029183695924417
2106,1199707,1199706,-6.8480771068163095,5.843060344135389,2,220,0.375,2.4366666666666696,0.7750143218646242
2107,1199708,1199707,-13.457513942009198,1.0487621554463198,0,260,0.705,2.4366666666666696,3.250176546527918
2108,1199709,1199708,12.7570181038658,-1.7325011927203797,1,256,0.605,2.44833333333333,2.153024568370939
2109,1199710,1199709,-7.054830661602991,7.764931471814481,2,248,0.385,2.44833333333333,1.2263847317075693
2110,1199711,1199710,7.8546337134428095,-1.57441547576473,2,186,0.36,2.44833333333333,0.5032998860222434
