"","X","x","y","Labels","Energy","Magnetization","Temp"
"1196920",1196919,20.1606326318878,0.555582290907611,1,382,0.975,2.005
"1196921",1196920,-17.4579342437616,0.791202942931002,0,346,0.905,2.01666666666667
"1196922",1196921,19.3591306029592,-0.390385109990941,1,362,0.935,2.01666666666667
"1196923",1196922,-17.9603487259928,-0.219362383152214,0,356,0.93,2.01666666666667
"1196924",1196923,17.0569383356958,-3.12832422673738,1,336,0.82,2.01666666666667
"1196925",1196924,-17.5608383913502,-0.347298512334696,0,342,0.91,2.02833333333333
"1196926",1196925,19.2590865229797,-1.06064268931653,1,362,0.93,2.02833333333333
"1196927",1196926,18.6589912286244,0.0968340089169696,1,344,0.9,2.02833333333333
"1196928",1196927,19.160117588719,-0.0640734030477168,1,350,0.925,2.02833333333333
"1196929",1196928,-16.6601112471106,1.18480799101204,0,324,0.865,2.04
"1196930",1196929,19.159111677987,0.269136474896648,1,344,0.925,2.04
"1196931",1196930,-17.5596042856676,-0.277422269745358,0,342,0.91,2.04
"1196932",1196931,-17.4605939942178,-0.6926035245294,0,338,0.905,2.04
"1196933",1196932,-17.4599657815348,-0.21153652108841,0,338,0.905,2.05166666666667
"1196934",1196933,18.9599702561246,0.182608216818492,1,344,0.915,2.05166666666667
"1196935",1196934,-15.8592521486812,1.04978932038132,0,306,0.825,2.05166666666667
"1196936",1196935,-17.1574689841571,0.272929249654537,0,352,0.89,2.05166666666667
"1196937",1196936,-16.4593219583465,-0.439432467231811,0,310,0.855,2.06333333333333
"1196938",1196937,19.0592959010537,0.141360902351726,1,350,0.92,2.06333333333333
"1196939",1196938,-17.7606306171987,-0.534706507700114,0,346,0.92,2.06333333333333
"1196940",1196939,-17.159280088128,0.617304034026243,0,330,0.89,2.06333333333333
"1196941",1196940,-16.2586558197556,2.11142488832134,0,312,0.845,2.075
"1196942",1196941,18.2586727622876,1.00344697817076,1,330,0.88,2.075
"1196943",1196942,-18.4599666696658,-0.079292113048911,0,372,0.955,2.075
"1196944",1196943,18.7592213740423,-1.42763064290832,1,352,0.905,2.075
"1196945",1196944,-14.7585883144739,2.49612327324026,0,306,0.77,2.08666666666667
"1196946",1196945,19.259453233244,0.406940476517871,1,350,0.93,2.08666666666667
"1196947",1196946,19.0593895901591,-0.313254575111421,1,344,0.92,2.08666666666667
"1196948",1196947,-17.259160539155,0.175158784457497,0,332,0.895,2.08666666666667
"1196949",1196948,-17.3588459808278,-0.326221293829421,0,340,0.9,2.09833333333333
"1196950",1196949,18.2581294693273,-0.985189534281676,1,336,0.88,2.09833333333333
"1196951",1196950,-17.9607372078224,0.594054257268819,0,350,0.93,2.09833333333333
"1196952",1196951,16.6591692302035,0.754231038025438,1,308,0.8,2.09833333333333
